,Bucket,Campaign Name,Income FY21,Income FY20,FY21 as % of FY20
0,1: Individual Giving,Sponsor a Scholar,"$23,812.68 ","$25,213.95 ",94.40%
1,1: Individual Giving,Sponsor a Scholar - Fund a Thon,"$3,724.12 ","$3,610.00 ",103.20%
2,1: Individual Giving,Appeal - June,"$5,525.97 ","$2,095.00 ",263.80%
3,1: Individual Giving,Appeal - December,"$10,417.13 ","$9,637.11 ",108.10%
4,1: Individual Giving,Online appeal - Giving Tuesday,"$7,332.46 ","$8,544.94 ",85.80%
5,1: Individual Giving,Online event - Starfish Search,"$1,037.00 ","$1,268.00 ",81.80%
6,1: Individual Giving,Online event - Starfish Bracket Challenge,$0.00 ,"$1,115.00 ",0.00%
7,1: Individual Giving,Lapsed Donors,$0.00 ,$400.00 ,0.00%
8,1: Individual Giving,Benefit dinner tickets,"$4,817.12 ","$4,010.00 ",120.10%
9,1: Individual Giving,Benefit dinner individual donations,"$8,250.40 ","$2,825.00 ",292.00%
10,1: Individual Giving,Benefit dinner auction,"$9,808.13 ","$11,491.00 ",85.40%
11,1: Individual Giving,Events - CT/NE,"$5,402.80 ",$309.00 ,1748.50%
12,1: Individual Giving,Events - not recurring,$309.30 ,"$2,920.00 ",10.60%
13,1: Individual Giving,Events - Ecuador,$0.00 ,"$1,213.60 ",0.00%
14,1: Individual Giving,Birthdays and weddings,"$4,159.77 ","$6,049.31 ",68.80%
15,1: Individual Giving,Unsolicited Gifts,"$7,377.92 ","$7,505.66 ",98.30%
16,2: Major Donors,Benefit dinner sponsorships (5),"$50,000.00 ","$87,500.00 ",57.10%
17,2: Major Donors,University Efforts,$0.00 ,"$1,016.00 ",0.00%
18,2: Major Donors,Other Major Donors,"$34,475.00 ","$44,200.00 ",78.00%
19,3: Grants,Grants,"$8,750.00 ","$1,500.00 ",583.30%
20,4: Corporations,Benefit dinner sponsorships (1),$520.56 ,$500.00 ,104.10%
21,4: Corporations,Matching donations (10),"$22,329.48 ","$1,769.19 ",1262.10%
22,5: Earned Revenue,Ecua vols/visitors,$0.00 ,"$5,487.46 ",0.00%
23,5: Earned Revenue,Benefit dinner item sales,$601.06 ,"$1,183.00 ",50.80%
24,5: Earned Revenue,Pura Vida sales,$32.20 ,$5.00 ,644.00%
25,5: Earned Revenue,Dream Book sales,$0.00 ,$0.00 ,nan%
26,5: Earned Revenue,Popsocket sales,$20.00 ,$0.00 ,inf%
27,5: Earned Revenue,Photo sales,$0.00 ,$40.00 ,0.00%
29,5: Earned Revenue,Speaking events,$0.00 ,$414.00 ,0.00%
30,5: Earned Revenue,Amazon Smile,$310.16 ,$192.33 ,161.30%
31,5: Earned Revenue,CafePress,$0.00 ,$0.00 ,nan%
32,5: Earned Revenue,Goodshop,$0.00 ,$0.00 ,nan%
